sep=;
Titular;Enlace
Así ha cambiado Internet en los 20 años transcurridos desde el lanzamiento de Genbeta;https://www.genbeta.com/a-fondo/asi-ha-cambiado-internet-20-anos-transcurridos-lanzamiento-genbeta
Un jefe boomer no entendía que sus empleados millennials no quisieran cargos directivos. Ellos tienen claras las razones;https://www.genbeta.com/laboral/jefe-boomer-no-entendia-que-sus-empleados-millennials-no-quisieran-cargos-directivos-ellos-tienen-claras-razones
Meta se ha puesto a la cabeza de la carrera de los agentes de IA adquiriendo Manus por 2.000 millones de dólares;https://www.genbeta.com/inteligencia-artificial/meta-se-ha-puesto-a-cabeza-carrera-agentes-ia-adquiriendo-manus-2-000-millones-dolares
El nuevo jersey de lana de Zara es calentito, color verde esmeralda y dará luz a los días grises este invierno;https://www.trendencias.com/shopping/nuevo-jersey-lana-zara-calentito-color-verde-esmeralda-dara-luz-a-dias-grises-este-invierno?utm_source=genbeta&utm_medium=network&utm_campaign=repost
"""Será un trabajo estresante"", promete Sam Altman en esta oferta. Por eso ofrece más de medio millón de dólares de sueldo";https://www.genbeta.com/inteligencia-artificial/sera-trabajo-estresante-promete-sam-altman-esta-oferta-eso-ofrece-medio-millon-dolares-sueldo
El Alzheimer ya no parece irreversible: la ciencia logra que cerebros con daños avanzados se recuperen por primera vez en animales;https://www.xataka.com/medicina-y-salud/prometedor-farmaco-logra-borrar-rastro-alzheimer-ratones-que-esta-vez-hay-motivos-para-optimismo?utm_source=genbeta&utm_medium=network&utm_campaign=repost
Aunque no lo creas, el animal más criado en el mundo no son los pollos, los cerdos o el pescado: son las gambas;https://www.directoalpaladar.com/consumidores/no-creas-animal-criado-mundo-no-pollos-cerdos-pescado-gambas?utm_source=genbeta&utm_medium=network&utm_campaign=repost
"El CEO de Randstad afirma que el teletrabajo ahora se reserva solo para talentos ""muy especiales"" y explica quién tiene este perfil";https://www.genbeta.com/laboral/ceo-randstad-afirma-que-teletrabajo-ahora-se-reserva-solo-para-talentos-muy-especiales-explica-quien-tiene-este-perfil
Xataka TV;https://www.youtube.com/user/XatakaTv?sub_confirmation=1
Malas noticias para 'The Last of Us'. La temporada 3 de la serie de HBO pierde a uno de sus protagonistas y tendrá que buscar un reemplazo;https://www.espinof.com/series-de-ficcion/malas-noticias-para-the-last-of-us-temporada-3-serie-hbo-pierde-a-uno-sus-protagonistas-tendra-que-buscar-reemplazo?utm_source=genbeta&utm_medium=network&utm_campaign=repost
He comprado online porque en mi pueblo cada vez hay menos tiendas.... y siento que el proceso agota: es como horas extra de trabajo;https://www.genbeta.com/a-fondo/he-comprado-online-porque-mi-pueblo-cada-vez-hay-tiendas-siento-que-proceso-agota-como-horas-extra-trabajo
Le cazó un radar en Suiza a 137 km/h con su Ferrari Testarossa. Es la multa de velocidad más cara de la historia, según Guinness World Records;https://www.motorpasion.com/seguridad/le-cazo-radar-suiza-a-137-km-h-su-ferrari-testarossa-multa-velocidad-cara-historia-guinness-world-records?utm_source=genbeta&utm_medium=network&utm_campaign=repost
El cibercrimen ya no sólo es digital: 2025 ha sumado muertes y torturas a su historial;https://www.genbeta.com/seguridad/cibercrimen-no-solo-digital-2025-ha-sumado-muertes-torturas-a-su-historial
Genbeta dev;https://www.genbeta.com/categoria/desarrollo
La IA ha desatado la furia de este creador del lenguaje Go. Sólo ha necesitado enviarle un e-mail de agradecimiento;https://www.genbeta.com/inteligencia-artificial/ia-ha-desatado-furia-este-creador-lenguaje-go-solo-ha-necesitado-enviarle-e-mail-agradecimiento
"Cadenas de TV como Telecinco o Antena 3 critican los ""realities"" de Internet: ""La Casa de los Gemelos"" campa a sus anchas en YouTube";https://www.genbeta.com/actualidad/cadenas-tv-como-telecinco-antena-3-critican-realities-internet-casa-gemelos-campa-a-sus-anchas-youtube
"Víctor Sanchego, maestro jamonero, compara: ""Echarle aceite a la tostada de jamón es como si a una tarta de chocolate le echas azúcar por encima""";https://www.directoalpaladar.com/consumidores/victor-sanchego-maestro-jamonero-compara-echarle-aceite-a-tostada-jamon-como-a-tarta-chocolate-le-echas-azucar-encima?utm_source=genbeta&utm_medium=network&utm_campaign=repost
El planazo pionero de China para evitar que los chatbots de IA aconsejen mal: recurrir a los humanos cuando hay temas espinosos;https://www.genbeta.com/inteligencia-artificial/china-tiene-plan-para-evitar-que-chatbots-ia-manipulen-emociones-incluso-proponen-derivar-conversacion-a-humanos
